inventory_year,survey_unit,country,plot_number,tree_number,diametr,height,log_height,log_diametr
2022,2,23,48,10,7.3,45.0,3.8066624897703196,1.9878743481543455
2022,2,23,48,13,14.2,70.0,4.248495242049359,2.653241964607215
2022,2,23,48,14,11.7,72.0,4.276666119016055,2.4595888418037104
2022,2,23,48,15,5.4,39.0,3.6635616461296463,1.6863989535702288
2022,2,23,48,19,5.2,35.0,3.5553480614894135,1.6486586255873816
2022,2,23,48,25,8.7,61.0,4.110873864173311,2.163323025660538
2022,2,23,389,4,8.0,45.0,3.8066624897703196,2.0794415416798357
2022,2,23,389,6,8.0,48.0,3.871201010907891,2.0794415416798357
2022,2,23,389,7,6.3,49.0,3.8918202981106265,1.840549633397487
2022,2,23,389,10,6.4,37.0,3.6109179126442243,1.8562979903656263
2022,2,23,389,12,11.1,66.0,4.189654742026425,2.4069451083182885
2022,2,23,389,15,5.5,26.0,3.258096538021482,1.7047480922384253
2022,2,23,389,16,8.5,60.0,4.0943445622221,2.1400661634962708
2022,2,23,389,17,6.8,50.0,3.912023005428146,1.916922612182061
2022,2,23,389,21,9.9,64.0,4.1588830833596715,2.2925347571405443
2022,2,23,389,22,10.3,64.0,4.1588830833596715,2.33214389523559
2022,2,23,1026,14,2.0,15.0,2.70805020110221,0.6931471805599453
2022,2,23,1026,15,2.4,16.0,2.772588722239781,0.8754687373538999
2022,2,23,1026,16,2.2,16.0,2.772588722239781,0.7884573603642703
2022,2,23,1026,18,5.1,33.0,3.4965075614664802,1.62924053973028
2022,2,23,1439,1,8.3,40.0,3.6888794541139363,2.1162555148025524
2022,2,23,1439,6,8.7,54.0,3.9889840465642745,2.163323025660538
2022,2,23,1439,27,6.2,44.0,3.784189633918261,1.824549292051046
2022,2,23,1439,33,9.7,68.0,4.219507705176107,2.272125885509337
2022,3,1,180,1,2.3,12.0,2.4849066497880004,0.8329091229351039
2022,3,1,180,9,1.2,9.0,2.1972245773362196,0.1823215567939546
2022,3,1,325,25,2.3,11.0,2.3978952727983707,0.8329091229351039
2022,3,1,325,32,2.2,15.0,2.70805020110221,0.7884573603642703
2022,3,1,325,33,6.2,25.0,3.2188758248682006,1.824549292051046
2022,3,1,325,36,6.3,26.0,3.258096538021482,1.840549633397487
2022,3,1,325,43,6.6,25.0,3.2188758248682006,1.8870696490323797
2022,3,1,325,44,8.8,27.0,3.295836866004329,2.174751721484161
2022,3,1,325,46,1.2,8.0,2.0794415416798357,0.1823215567939546
2022,3,1,325,47,5.9,23.0,3.1354942159291497,1.7749523509116738
2022,3,1,325,48,5.0,22.0,3.091042453358316,1.6094379124341003
2022,3,1,325,50,5.5,23.0,3.1354942159291497,1.7047480922384253
2022,3,1,325,51,5.4,24.0,3.1780538303479458,1.6863989535702288
2022,3,1,1167,2,6.0,52.0,3.9512437185814275,1.791759469228055
2022,3,1,1167,5,16.3,80.0,4.382026634673881,2.791165107812717
2022,3,1,1167,12,1.5,10.0,2.302585092994046,0.4054651081081644
2022,3,1,2521,5,7.0,27.0,3.295836866004329,1.9459101490553132
2022,3,1,2521,12,6.9,28.0,3.332204510175204,1.9315214116032138
2022,3,1,2521,13,6.5,30.0,3.4011973816621555,1.8718021769015913
2022,3,1,2521,16,8.8,33.0,3.4965075614664802,2.174751721484161
2022,3,1,2521,17,7.8,34.0,3.5263605246161616,2.0541237336955462
2022,3,1,2526,1,3.3,16.0,2.772588722239781,1.1939224684724346
2022,3,1,2526,2,3.6,18.0,2.8903717578961645,1.2809338454620642
2022,3,1,2526,5,7.2,52.0,3.9512437185814275,1.9740810260220096
2022,3,1,2568,3,6.8,40.0,3.6888794541139363,1.916922612182061
2022,3,1,2568,4,6.1,37.0,3.6109179126442243,1.8082887711792655
2022,3,1,2568,6,6.9,38.0,3.6375861597263857,1.9315214116032138
2022,3,1,2568,7,6.0,36.0,3.58351893845611,1.791759469228055
