plot_sequence_number,inventory_year,survey_unit,country,plot_number,tree_number,diametr,height,log_height,log_diametr
722577878290487,2021,2,9,320,9,7.5,45.0,3.8066624897703196,2.0149030205422647
171871799020004,2014,2,9,320,11,6.3,29.0,3.367295829986474,1.840549633397487
722577878290487,2021,2,9,320,12,6.1,27.0,3.295836866004329,1.8082887711792655
722577878290487,2021,2,9,320,13,5.5,38.0,3.6375861597263857,1.7047480922384253
816546033290487,2022,2,9,333,1,2.3,28.0,3.332204510175204,0.8329091229351039
816546033290487,2022,2,9,333,2,3.0,29.0,3.367295829986474,1.0986122886681098
816546033290487,2022,2,9,333,3,5.1,34.0,3.5263605246161616,1.62924053973028
816546033290487,2022,2,9,333,4,5.2,33.0,3.4965075614664802,1.6486586255873816
816546033290487,2022,2,9,333,5,5.5,29.0,3.367295829986474,1.7047480922384253
816546033290487,2022,2,9,333,6,5.2,27.0,3.295836866004329,1.6486586255873816
816546033290487,2022,2,9,333,7,5.6,32.0,3.4657359027997265,1.7227665977411035
816546033290487,2022,2,9,333,8,5.7,31.0,3.4339872044851463,1.7404661748405046
816546033290487,2022,2,9,333,20,3.0,23.0,3.1354942159291497,1.0986122886681098
816546033290487,2022,2,9,333,22,2.0,17.0,2.833213344056216,0.6931471805599453
816546033290487,2022,2,9,333,26,1.5,9.0,2.1972245773362196,0.4054651081081644
816546033290487,2022,2,9,333,27,1.7,11.0,2.3978952727983707,0.5306282510621704
816546033290487,2022,2,9,333,35,5.9,40.0,3.6888794541139363,1.7749523509116738
816546033290487,2022,2,9,333,38,5.8,35.0,3.5553480614894135,1.7578579175523736
816546033290487,2022,2,9,333,39,5.7,37.0,3.6109179126442243,1.7404661748405046
816546033290487,2022,2,9,333,40,5.0,35.0,3.5553480614894135,1.6094379124341003
816546033290487,2022,2,9,333,41,5.4,35.0,3.5553480614894135,1.6863989535702288
816546033290487,2022,2,9,333,47,2.5,21.0,3.044522437723423,0.9162907318741551
816546033290487,2022,2,9,333,48,2.4,25.0,3.2188758248682006,0.8754687373538999
816546033290487,2022,2,9,333,49,1.3,14.0,2.6390573296152584,0.26236426446749106
816546033290487,2022,2,9,333,50,1.3,13.0,2.5649493574615367,0.26236426446749106
816546033290487,2022,2,9,333,52,3.0,30.0,3.4011973816621555,1.0986122886681098
816546033290487,2022,2,9,333,53,2.2,18.0,2.8903717578961645,0.7884573603642703
816546033290487,2022,2,9,333,54,2.3,22.0,3.091042453358316,0.8329091229351039
816546033290487,2022,2,9,333,55,2.3,23.0,3.1354942159291497,0.8329091229351039
816546033290487,2022,2,9,333,56,2.7,24.0,3.1780538303479458,0.9932517730102834
816546033290487,2022,2,9,333,57,1.3,16.0,2.772588722239781,0.26236426446749106
816546033290487,2022,2,9,333,58,1.6,17.0,2.833213344056216,0.47000362924573563
816546033290487,2022,2,9,333,60,1.4,14.0,2.6390573296152584,0.3364722366212129
816546033290487,2022,2,9,333,61,1.9,22.0,3.091042453358316,0.6418538861723947
816546033290487,2022,2,9,333,64,1.7,15.0,2.70805020110221,0.5306282510621704
816546033290487,2022,2,9,333,66,1.0,14.0,2.6390573296152584,0.0
816546033290487,2022,2,9,333,72,5.5,35.0,3.5553480614894135,1.7047480922384253
73587797010538,2006,2,9,375,2,7.4,40.0,3.6888794541139363,2.0014800002101243
73587797010538,2006,2,9,375,3,7.7,44.0,3.784189633918261,2.0412203288596382
73587797010538,2006,2,9,375,13,7.8,45.0,3.8066624897703196,2.0541237336955462
73587797010538,2006,2,9,375,27,5.5,27.0,3.295836866004329,1.7047480922384253
171871801020004,2014,2,9,407,4,13.0,62.0,4.127134385045092,2.5649493574615367
144986705010661,2009,2,9,407,5,2.8,19.0,2.9444389791664403,1.0296194171811581
171871801020004,2014,2,9,407,9,10.9,62.0,4.127134385045092,2.388762789235098
1192967949290487,2023,2,9,479,2,10.7,65.0,4.174387269895637,2.3702437414678603
62277003010538,2005,2,9,479,3,13.4,77.0,4.343805421853684,2.5952547069568657
62277003010538,2005,2,9,479,4,12.1,71.0,4.2626798770413155,2.4932054526026954
62277003010538,2005,2,9,479,7,13.7,73.0,4.290459441148391,2.617395832834079
62277003010538,2005,2,9,479,8,12.6,78.0,4.356708826689592,2.533696813957432
